    N,Site,    AX1    ,  AX2    ,  AX3    ,  AX4   ,   WEIGHT,    N2
131,2004.303,1.1473,0.1177,1.0337,0.4972,64.61,66.79
132,2004.307,1.5647,0.9051,0.8273,0.6017,63.54,57.27
133,2004.308,0.0815,0.5786,0.7996,0.6,56.65,34.3
134,2004.309,1.2482,0.4052,1.0871,1.1239,56.16,48.4
135,2004.317,1.2065,1.3576,0.9841,0.7421,70.83,52.11
136,2004.319,0.7581,0.8441,0.1449,0.3147,63.18,38.69
137,2004.331,2.2338,0.7254,0.7214,0.6889,52.29,47.81
138,2004.343,1.4302,0.9599,0.8126,0.6992,59.72,47.02
139,2004.346,0.7238,0.2575,0.8428,1.0464,53.92,34.38
140,2004.35,1.2939,0.7652,1.0838,0.6327,60.29,56.46
141,2005.205,0.6095,0.7445,1.0684,0.2623,70.7,47.09
142,2005.206,1.1543,0.3727,0.6659,0.1247,69.27,80.42
143,2005.208,0.6207,0.9699,0.7226,0.6728,51.78,56.74
144,2005.22,0.9518,0.8596,1.0013,0.0391,78.76,56.05
145,2005.222,1.1292,0.4818,0.8053,0.2545,73.59,74.07
146,2005.226,0.9119,0.3047,1.4436,0.5596,58.65,40.72
147,2005.238,1.4448,0.5525,0.7334,0.4887,70.63,79
148,2005.244,1.5392,0.5139,0.5724,0.2669,63.36,67.13
149,2005.254,0.9371,1.6348,0.8489,0.6604,54.05,29.3
150,2005.259,0.7483,0.4736,0.3623,0.5663,54.03,39.88
151,2005.303,1.18,0.0618,1.0301,0.5133,65.81,58.24
152,2005.307,1.5543,0.8516,0.822,0.3955,73.73,66.36
153,2005.308,0.1516,0.6024,0.8374,0.6074,56.78,31.33
154,2005.309,1.2199,0.3577,1.0176,1.0748,59.83,56.06
155,2005.317,1.1595,1.2323,0.9727,0.5824,69.23,53.03
156,2005.319,0.7303,0.7727,0.1714,0.6829,62.28,47.43
157,2005.331,2.2345,0.6232,0.6851,0.6001,54.08,50.69
158,2005.343,1.5216,0.9083,0.888,0.7513,60.69,51.23
159,2005.346,0.6178,0.2166,0.7771,1.0684,56.37,41.76
160,2005.35,1.3872,0.759,1.0306,0.5151,74.43,53.98
161,2006.205,0.4723,0.6827,1.1584,0.38,54.32,35.62
162,2006.206,1.0829,0.376,0.7558,0.2683,64.4,55.57
163,2006.208,0.5683,0.9695,0.6825,0.6106,57.28,47.57
164,2006.22,0.8928,0.752,1.1523,0.3462,54.7,51.55
165,2006.222,0.9807,0.4021,0.6727,0.191,65.42,54.28
166,2006.226,0.8145,0.2798,1.4388,0.681,68.36,39.23
167,2006.238,1.3752,0.4718,0.6781,0.4739,59.58,55.46
168,2006.244,1.2663,0.3303,0.5072,0.3887,62.43,59.34
169,2006.254,0.9025,1.2781,0.8623,0.5917,47.6,37.41
170,2006.259,0.7671,0.4437,0.4629,0.7466,46.64,24.04
171,2006.303,1.1956,0,1.0767,0.613,61.27,44.05
172,2006.307,1.3847,0.8521,0.8401,0.5174,56.74,62.64
173,2006.308,0,0.511,0.9386,0.6304,48,29.86
174,2006.309,1.1938,0.2262,1.082,1.1511,50.49,40.79
