"plot","burn_date"
320,2009-03-25
321,1992-03-23
321,1993-04-16
321,1994-03-03
321,1995-03-16
321,1996-04-10
321,1998-03-21
321,2008-08-04
322,1993-03-09
322,1994-03-04
322,1995-03-16
322,1996-04-10
322,1998-03-22
322,2009-03-25
323,1993-03-09
323,1994-03-04
323,1997-03-10
323,1999-03-26
323,2001-03-27
323,2009-03-25
324,1993-03-09
324,1994-03-04
324,1997-03-10
324,1999-03-26
324,2001-03-27
324,2009-03-25
325,1995-04-05
325,2005-04-02
325,2007-03-16
325,2008-04-07
326,1995-04-05
326,2005-04-02
326,2008-04-07
327,1996-04-24
327,2001-03-23
327,2003-04-08
327,2005-04-02
327,2007-03-16
327,2008-04-07
328,1995-04-05
328,2005-04-02
328,2008-04-07
329,1995-04-05
329,2005-04-02
329,2008-04-07
330,1998-04-01
330,1999-03-25
330,2002-04-11
330,2004-03-12
330,2005-03-03
330,2009-04-07
332,1994-04-20
332,1997-04-21
332,1998-05-11
332,1999-03-24
332,2000-04-28
332,2001-04-25
332,2003-03-31
332,2004-03-12
332,2005-03-14
332,2008-03-26
332,2009-03-06
333,1993-03-11
333,1994-03-05
333,1995-03-17
333,1996-04-10
333,1998-03-22
333,2007-09-12
334,1999-03-25
334,2002-04-11
334,2004-03-12
334,2005-03-03
334,2008-03-14
335,1993-03-09
335,1994-03-04
335,1997-03-10
335,1999-03-26
335,2001-04-03
335,2009-03-25
336,1993-03-11
336,1994-03-05
336,1995-03-17
336,1996-04-06
336,1997-03-20
336,1998-03-22
336,2000-03-30
336,2003-03-15
336,2004-03-19
336,2005-04-02
336,2006-04-12
336,2008-03-10
337,1993-03-25
337,1994-03-06
337,1997-03-11
337,1999-03-26
337,2008-03-29
338,1993-04-18
338,1995-03-30
338,1998-04-01
338,2000-03-27
338,2001-03-13
338,2005-03-28
338,2007-12-03
339,1993-04-16
339,1994-03-03
339,1995-03-16
339,1996-04-01
339,1997-03-12
339,1998-03-21
339,2000-03-20
339,2003-03-13
339,2004-03-12
339,2005-03-14
339,2006-03-25
340,1993-03-11
340,1994-03-05
340,1995-03-17
340,1996-04-10
340,1998-03-22
340,2007-09-12
341,1993-03-11
341,1994-03-05
341,1995-03-17
341,1996-04-06
341,1997-03-20
341,1998-03-22
341,2000-03-30
341,2003-03-15
341,2004-03-19
341,2005-04-02
341,2006-04-12
341,2009-03-09
342,1993-03-25
342,1994-03-06
342,1995-03-15
342,1996-04-10
342,1998-03-22
342,2008-03-29
344,1993-03-25
344,1994-03-06
344,1995-03-24
