"STID","STNM","MONTH","YEAR","RELH","TAIR","WSPD","WVEC","WDIR","WDSD","WSSD","WMAX","RAIN","PRES","SRAD","TA9M","WS2M","TS10","TB10","TS05","TB05","TS30","TR05","TR25","TR60","TR75"
"FORA",38,"12","1998",71.3488059199462,3.33058638860859,3.85341405987218,3.78859737638749,149.820159210674,9.08823859177038,0.558717344993833,5.15626191277049,39.89,982.885621706469,97.5514071084202,3.59873304182083,2.32534513274336,6.89905819038009,5.40430541540531,5.09471913891692,4.41422805247225,8.64241506895392,1.49567315834039,1.49818304172275,1.46864064602961,1.50818304172275
"FORA",38,"01","1999",75.3184363799283,1.43385976702509,4.45143313920292,4.38210574397625,156.071485668608,9.10073084389631,0.662863994518671,6.00932967911385,61.21,977.903390456989,88.2681451612903,1.43062275985663,3.00134297520661,3.62355510752688,2.44697580645161,2.10147849462366,1.73881048387097,4.76162634408602,1.57538370720189,1.50949596774194,1.46764784946237,1.49490591397849
"FORA",38,"02","1999",66.5431547619048,8.1913814484127,4.90829613095238,4.83234126984127,189.292162698413,9.37987351190476,0.717633928571429,6.58957093253968,52.57,977.509995039683,150.299851190476,8.19754464285714,3.15659722222222,7.41450892857143,8.003125,6.08072916666667,7.67061011904762,7.82451636904762,1.50870535714286,1.4952380952381,1.45824404761905,1.46741071428571
"FORA",38,"03","1999",66.7715053763441,7.66302643369176,4.78553987455197,4.70484991039427,130.98767921147,9.53421818996416,0.75255376344086,6.56549059139785,86.61,978.821084229391,168.970430107527,7.57767697132616,3.17296146953405,7.55897177419355,8.31041666666667,6.18185483870968,7.93563722184761,8.0721438172043,1.4851814516129,1.47818548387097,1.44737903225806,1.44600806451613
"FORA",38,"04","1999",68.8534807149577,15.2001411100659,5.6767991533396,5.59461429915334,184.197083725306,9.06738005644403,0.858254938852305,7.70348071495767,145.53,973.31917215428,207.109360301035,14.9640051740357,3.89106302916275,13.2300282286521,14.6041990119972,12.0770289343684,14.5392731122089,12.9209950599859,1.47803672316384,1.46982344632768,1.44591807909605,1.44232344632768
"FORA",38,"05","1999",72.0746603794768,18.9824070955428,4.36199618277759,4.28483215448524,171.165936903559,9.79070394072078,0.681935556304031,5.96062647356012,160.78,973.83795620438,254.376782306051,19.0051420231279,3.02255529358931,16.997943358058,19.0836142953473,15.8867498314228,19.1993594066082,16.5294335805799,1.59513513513514,1.59565540540541,1.58610135135135,1.54653378378378
"FORA",38,"06","1999",82.3299768518519,22.4638425925926,3.90793981481482,3.84231481481481,145.400578703704,10.0545138888889,0.628854166666667,5.39125,193.28,975.350664351852,242.606134259259,22.3572222222222,2.62357638888889,21.2182986111111,23.6072569444444,20.1367361111111,23.7355902777778,20.5658333333333,1.4645,1.47291666666667,1.46617361111111,1.45004166666667
"FORA",38,"07","1999",74.3648482132855,26.8005152906912,4.08500056009858,4.02911392405063,167.467906351518,8.57047160300213,0.582032037638624,5.44815727568052,86.11,976.887189425339,311.642657107651,26.9426122997648,2.57383219446623,24.310752688172,28.9590389784946,23.2283266129032,29.3889112903226,23.5930107526882,1.99831090174966,1.61419919246299,1.46627187079408,1.45341184387618
"FORA",38,"08","1999",67.9268205616373,26.415,3.0836387434555,3.0203950499762,124.333412660638,10.5732508329367,0.530128510233222,4.32640409328891,55.12,976.295491432651,275.55568776773,26.7035697287006,1.79848881485007,24.4329985652798,29.2194045911047,23.1213414634146,29.5360473457676,24.2512912482066,2.8123381294964,2.89264028776978,2.09605035971223,1.6949928057554
"FORA",38,"09","1999",74.012037037037,19.2410069444444,3.47309027777778,3.40444444444444,140.692824074074,9.90517361111111,0.581122685185185,4.84049768518519,151.63,977.317519675926,181.646412037037,19.4638773148148,2.04414351851852,19.7077083333333,20.8944444444444,18.1789930555556,20.4844791666667,20.3141319444444,2.16847222222222,2.41240277777778,3.03103472222222,2.45397916666667
