"plot","plot_yr","yr","repeat_plot","grid_plot","date_samp","jul_day","easting","northing","coord_comments","grassht","forbht","woodyht","woodypct","basal_area","density","dens_c1","dens_c2","dens_c3","dens_c4","avgdens","stddens","waterpct","rockpct","barepct","slope","aspect","TEC","PH","ORG","S","BCA","BMG","BK","BNA","BH","rain6","rain7","rain8","rain9","rain10","rain11","rain12","rain1","rain2","rain3","rain4","rain5","temp6","temp7","temp8","temp9","temp10","temp11","temp12","temp1","temp2","temp3","temp4","temp5","OrBis","bison","YrsOB","BP5Yrs","YrsSLB","burn","date_of_burn","jul_day_burn","logP","logCA","logMG","logK","logNA.","logB","logFE","logMN","logCU","logZN","logAL","eastness","northness"
206,206.1999,1999,1,1,1999-06-03,154,730000,4076000,"",0.8,1.2,0.9,4,0,0,NA,NA,NA,NA,0,NA,0,0,5,1,296,19.42,6.6,5.05,"29",70.31,15.96,2.17,0.76,6,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,1,1,3.035616438,1,4.180821918,0,NA,NA,1,3.43632170013973,2.5705429398819,2.51587384371168,1.53147891704226,0.212187604403958,2.09342168516224,1.69897000433602,0.292256071356476,0.745855195173729,2.6954816764902,0.636761250564552,0.771061028570027
208,208.1999,1999,1,1,1999-06-03,154,728000,4078000,"",0.9,0.8,0.6,1,0,0,NA,NA,NA,NA,0,NA,0,0,5,5,209,27.67,7.4,5.73,"41",75.97,14.12,1.78,4.13,0,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,1,1,5.62739726,1,3.468493151,0,NA,NA,1,3.6236627073562,2.67117284271508,2.58433122436753,2.41995574848976,0.440909082065218,1.92941892571429,1.93449845124357,0.3654879848909,0.320146286111054,2.68033551341456,0.996466641766108,-0.0839894746225687
220,220.1999,1999,1,1,1999-06-01,152,728000,4080000,"",0.7,0.6,0.5,1,0,0,NA,NA,NA,NA,0,NA,0,0,15,4,110,24.22,6.7,5.72,"28",75.33,13.28,1.41,0.77,4.5,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,1,1,5.621917808,1,4.701369863,0,NA,NA,1.04139268515823,3.56217386336465,2.58658730467176,2.42488163663107,1.63346845557959,0.250420002308894,2.30102999566398,1.84509804001426,0.404833716619938,0.4983105537896,2.71096311899528,-0.044242678085071,-0.999020813314648
222,222.1999,1999,1,1,1999-06-03,154,729000,4077000,"",0.8,0.9,0.6,1,0,0,NA,NA,NA,NA,0,NA,0,0,0,2,46,19.26,6,5.05,"25",61.45,14.24,3.24,0.68,15,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,1,1,3.035616438,2,3.131506849,0,NA,NA,1,3.37419825792908,2.51719589794997,2.68663626926229,1.47712125471966,0.2405492482826,2.24303804868629,1.76342799356294,0.367355921026019,0.578639209968072,2.73319726510657,0.901788347648809,-0.432177944884778
226,226.1999,1999,1,1,1999-06-02,153,729000,4078000,"",0.7,0.8,0.7,5,0,0,NA,NA,NA,NA,0,NA,0,0,1,4,222,20.37,5.8,5.6,"27",54.69,16.08,1.77,0.66,21,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,1,1,3.260273973,1,4.178082192,0,NA,NA,1.07918124604762,3.34791518650169,2.59439255037543,2.45024910831936,1.49136169383427,0.250420002308894,2.34242268082221,1.44715803134222,0.301029995663981,0.68930885912362,2.76042248342321,0.868950838216349,-0.494898414589402
238,238.1999,1999,1,1,1999-06-03,154,732000,4075000,"",0.6,0.6,0.2,0.5,0,0,NA,NA,NA,NA,0,NA,0,1,30,5,35,14.36,6.1,3.92,"22",66.82,12.19,1.7,0.58,13.5,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0.284931507,1,0.15890411,1,1999-04-06,96,1,3.28307497473547,2.32221929473392,2.27875360095283,1.27875360095283,0.193124598354462,2.20139712432045,1.34242268082221,0.170261715394957,0.45178643552429,2.73399928653839,-0.428182669496151,-0.903692205091507
244,244.1999,1999,1,1,1999-06-08,159,731000,4074000,"",1,0.9,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,0,1,270,15.22,5.9,3.68,"23",56.14,16.86,2.63,0.74,18,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0.298630137,0,5.194520548,0,NA,NA,0.954242509439325,3.23274206272074,2.48855071650044,2.49415459401844,1.41497334797082,0.204119982655925,2.13033376849501,1.25527250510331,0.0827853703164501,0.413299764081252,2.78604121024255,-0.176045946471211,0.984381950632505
254,254.1999,1999,1,1,1999-06-08,159,734000,4071000,"",1,0.8,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,10,5,122,21.6,6.8,5.34,"29",78.24,11.54,1.95,0.68,3,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,3,0.17260274,1,1999-04-06,96,1,3.52891670027765,2.47567118832443,2.51587384371168,1.53147891704226,0.320146286111054,2.41664050733828,1.77085201164214,0.423245873936808,0.552668216112193,2.64048143697042,0.498713153896394,-0.86676709105198
259,259.1999,1999,1,1,1999-06-03,154,734000,4073000,"",0.5,0.5,0,0,0,0,NA,NA,NA,NA,0,NA,0,0.5,20,2,28,26.4,6.4,5.91,"27",73.67,9.34,2.55,0.41,9,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,2,0.15890411,1,1999-04-06,96,1.07918124604762,3.58994960132571,2.47129171105894,2.72098574415374,1.39794000867204,0.24551266781415,1.97772360528885,1.99563519459755,0.271841606536499,0.517195897949974,2.82216807936802,0.270905788307869,-0.962605866313567
303,303.1999,1999,1,1,1999-06-04,155,731000,4082000,"",0.7,0.6,0.3,1,0,0,NA,NA,NA,NA,0,NA,0,0,30,4,44,15.23,5.9,3.98,"24",59.82,12.64,3.33,0.6,18,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,0,0,0,3,1.202739726,0,NA,NA,1,3.26054837263698,2.36361197989214,2.59769518592551,1.32221929473392,0.217483944213906,2.03342375548695,1.61278385671974,0.222716471147583,0.553883026643874,2.78746047451842,0.0177019251054136,0.999843308647691
